"from_stop_I","to_stop_I","d"
45072,3167,22039.1867840519
45073,3183,6614.08411184924
45074,3481,1350.15301749959
45075,3166,2984.18739152334
45076,3167,8640.74582477923
45077,3167,19380.2460958234
45078,3167,19818.2703795832
45079,3167,35820.2833004737
45080,3167,26891.3068605229
45081,3167,32714.1918879061
45082,3167,16855.1147930358
45083,3167,24849.0868302766
45084,3167,27353.3756794177
45085,3167,24187.6691924554
45086,3142,20874.6787144103
45087,2284,1600.32060991563
45088,2536,228.79634574939
45089,5173,2141.15967327602
45090,4126,2288.94718986902
45091,4192,232.546790770711
45092,5132,1302.62686381846
45093,3870,444.351218075889
45094,3759,1798.06742212206
45095,3888,130.690568394445
45096,2775,435.981349866942
45097,2803,1034.20963577152
45098,2820,1741.90678462303
45099,2763,2982.30050603478
45100,2718,534.947610215801
45101,4808,4564.66077491535
45102,3361,2207.12005952679
45103,3113,1933.2752079749
45104,3089,4707.2409794094
45105,4732,2249.22322682332
45106,2394,992.819373529555
45107,2626,573.262192499711
45108,2201,2584.36896213874
45109,2241,2054.42346914513
45110,2406,1126.45597309225
45111,2205,963.414523576703
45112,3644,890.833641589108
45113,4182,1429.36744755171
45114,1521,698.901632502283
45115,4340,618.07320277871
45116,4771,798.227963592211
45117,3078,2503.95202865041
45118,3008,3293.33319842199
45119,3077,1005.20773522105
45120,3059,2223.05643382882
45121,3258,2549.7051455235
45122,2568,1708.78498767258
45123,2565,467.007613544454
45124,2158,1294.57432782676
45125,4041,3655.03226392772
45126,4082,1159.40043756482
45127,4018,577.983388759622
45128,4001,2108.00907814084
45129,2968,958.876705910647
45130,2370,3077.71854648372
45131,3327,1129.77010795125
45132,3398,1069.01092982798
45133,3067,1645.87384062399
45134,2819,3408.23951568204
45135,1245,217.800095357188
45136,3990,1805.02496415574
45137,4624,6186.35015561361
45138,4125,4631.59342540889
45139,4120,999.828992360785
45140,4120,1957.62437718484
45141,1382,1250.20109178468
45142,4788,305.821305660913
45143,3345,1789.5688610624
45144,2907,2736.03623477533
45145,3265,1904.20503601803
45146,3265,2626.89102344384
45147,4717,925.748294370988
45148,1111,3005.6744725613
45149,1140,1181.33876203132
45150,2880,1486.38687877819
45151,708,676.580519676609
45152,1712,3319.68552706158
45153,2098,3740.87723981712
45154,2593,1713.17468057953
45155,2227,814.664192498919
45156,2323,1543.88819344409
45157,2292,1381.91609322869
45158,3396,2497.62686606417
45159,3670,823.439518608224
45160,3890,576.655875816387
45161,720,269.272310690139
45162,429,1281.10930320837
45163,1115,1228.35060496708
45164,2867,593.684871346133
45165,1655,934.213062854028
45166,2951,1378.92734815938
45167,3685,483.62837682605
45168,572,1062.47361789201
45169,1208,1245.90079070914
45170,1792,377.259663472608
45171,1647,488.805354396906
45172,2971,471.61215034415
45173,2724,1736.78573346973
45174,2727,1574.88590238598
45175,2712,611.830639223579
45176,2716,1312.52063002362
45177,2715,1571.21448183947
45178,4267,219.90469650955
45179,4777,2685.9941830249
45180,1520,1139.77148043201
45181,1973,908.56809103229
45182,1238,791.521093446996
45183,1979,1263.01740458496
45184,1491,424.720525573636
45185,1491,742.372089058881
45186,25,306.989563119384
45187,2902,2082.12295982218
45188,4759,606.307343255774
45189,2994,936.639398984736
45190,472,534.314044125191
45191,1233,302.407563078553
45192,3346,1295.10922797225
45193,3970,477.426789573208
45194,2421,473.317013077763
45195,3044,521.701149863407
45196,1777,738.314581006786
45197,100,427.421035711317
45198,100,173.627856145946
45199,100,208.919491525664
45200,2916,631.984509910602
45201,39,1374.68288113851
45202,1019,549.536245545156
45203,1631,1086.99886116941
45204,2263,636.170848312047
45205,2960,1421.30238685746
45206,2983,1064.20358000954
45207,3976,100.004456022353
45208,3837,753.373986756146
45209,349,873.346911353491
45210,940,922.8131489933
45211,717,729.933933790609
45212,2878,1027.99210191328
45213,349,990.824934823286
45214,1693,1608.9957106063
45215,731,1799.25090467303
45216,4791,1882.82067986559
45217,2610,1073.8556228004
45218,2531,283.462304729154
45219,2478,862.580559441684
45220,3287,619.184699026105
45221,2852,1073.69857246983
45222,2953,814.610761484698
45223,3436,289.046933156293
45224,4399,1512.59982249259
45225,1737,130.722927754675
45226,4776,281.79687393987
45227,3803,1339.78814926218
45228,4790,2034.7946363269
45229,3014,599.514691416553
45230,2898,404.153026794793
45231,375,251.799727735213
45232,2081,332.957230718184
45233,683,839.263043716398
45234,4050,1265.1495821156
45235,4030,830.980014159777
45236,2525,1576.49040957257
45237,2287,1411.20246028451
45238,3994,710.073218889806
45239,4092,784.027097004516
45240,1495,783.478778975284
45241,3457,450.759969054391
45242,964,1325.79311901119
45243,1490,743.18095524257
45244,1721,256.296021024434
45245,1531,1320.42260928269
45246,2053,1441.31502655589
45247,2593,1599.92430773869
45248,355,554.133555650116
45249,94,1481.6023830417
45250,1032,672.872342683126
45251,163,394.534596750617
45252,1033,84.9714279381032
45253,2686,45.2195918581437
45254,2690,275.013125049844
45255,607,844.598190918582
45256,4235,530.674111353903
45257,4034,1887.05125410952
45258,5115,802.476952001541
45259,3574,993.659609978541
45260,4147,440.718560650187
45261,3622,1316.97139523046
45262,1710,505.522552782586
45263,4719,200.239813314982
45264,2454,748.958718052974
45265,2453,1261.67141435184
45266,5134,1173.600549822
45267,3867,604.181169112942
45268,4260,678.92035428403
45269,3955,1471.44142632753
45270,4088,898.878144951162
45271,4087,920.35572207359
45272,4269,1658.51606631756
45273,3840,1512.31476998742
45274,3839,1618.82872198252
45275,3695,1447.14622116986
45276,564,1275.28445043218
45277,3559,477.124419633706
45278,3918,904.536212446259
45279,4090,1619.19577360164
45280,2619,941.133592696356
45281,2084,42.5468010862174
45282,3996,2471.17998466732
45283,4177,665.843565747661
45284,3747,422.477184965629
45285,1117,411.360821875502
45286,1125,678.782462430358
45287,1112,360.446374345183
45288,2317,1588.23878744545
45289,2328,440.894991059529
45290,2290,1494.75941376293
45291,372,634.439091173394
45292,2790,3134.72452333441
45293,2996,1221.20884081257
45294,2704,177.479604054825
45295,2705,850.593068226326
45296,2735,794.317578638112
45297,2786,281.244546631512
45298,3303,1249.05308486271
45299,3531,293.86130866405
45300,442,979.069614469312
45301,623,479.229904342579
45302,362,61.9768610094446
45303,455,642.502047046791
45304,454,1047.56353543892
45305,361,1386.99816253893
45306,362,480.113960088941
45307,593,699.609338777377
45308,777,1136.27901921478
45309,3563,1107.96806690535
45310,3770,1591.505298154
45311,4135,627.603863841602
45312,586,913.635168236024
45313,641,954.456051580445
45314,1474,568.347966677796
45315,415,504.056568183142
45316,1145,164.421744117915
45317,4167,280.755393496501
45318,2632,1040.22696566455
45319,2415,1470.73111611232
45320,4811,415.150163906162
45321,2065,435.041539401937
45322,2222,1242.07506013866
45323,2255,759.540915828319
45324,2140,731.158889305132
45325,2468,503.449976741597
45326,2128,395.030619919002
45327,2069,342.688697762743
45328,2124,335.376374784487
45329,5138,1787.85981493771
45330,2014,1782.22571017909
45331,2384,963.972377976719
45332,2045,587.071798254564
45333,2043,302.958379124534
45334,3678,759.772539478622
45335,3569,1123.11560336069
45336,480,1014.47941413965
45337,1416,307.511399873636
45338,3089,949.818624278705
45339,3695,461.356820034904
45340,2086,79.493376584557
45341,2235,695.159764932618
45342,1792,2186.7121566536
45343,2766,814.573954290549
45344,2773,719.05655029707
45345,593,490.688544742252
45346,2700,346.307266355052
45347,4812,1111.0256611519
45348,2750,137.086939453405
45349,2577,770.211081196333
45350,2577,1778.74553285657
45351,1036,1333.94463460585
45352,468,1254.41703144297
45353,1155,656.914064642433
45354,1766,1033.67329098656
45355,1058,136.596672875767
45356,2885,556.695099183498
45357,1641,1036.55499476588
45358,1820,1515.03122527901
45359,976,1423.9707203221
45360,3942,1610.07402683446
45361,3862,409.057874113268
45362,320,1013.81648758038
45363,2166,792.665913121352
45364,4800,692.633754376178
45365,310,550.567339366145
45366,118,304.335001781395
45367,2490,1792.09312368827
45368,2364,668.083866013538
45369,674,329.268332096476
45370,1318,504.168688498088
45371,1431,503.45232958544
45372,1220,590.234560784955
45373,2543,1495.1504890127
45374,1401,504.073415512711
45375,2587,281.509825770062
45376,2241,2095.33153399159
45377,4007,501.409440970976
45378,1048,860.554179195503
45379,62,1085.24988382108
45380,2887,1557.16502164323
45381,2904,1246.44290483305
45382,112,558.367385247123
45383,1443,488.940828544001
45384,1443,1301.57281294346
45385,1549,645.021937405963
45386,3604,1136.96377241738
45387,3587,1967.99600840646
45388,3453,1116.63562810726
45389,4233,442.737471469512
45390,289,583.56591182865
45391,4779,692.404547330091
45392,933,1203.38350390337
45393,2904,730.043024043603
45394,1624,912.758634365008
45395,1939,1115.34792116557
45396,1941,569.399439408443
45397,3655,974.756006706869
45398,2378,843.642771439201
45399,94,392.762585954592
45400,18,567.293563327018
45401,1226,495.315776300288
45402,1780,774.69319918099
45403,841,257.028854012389
45404,1299,1060.65897710273
45405,637,1173.52171686496
45406,3761,1885.16524015262
45407,4205,774.388634412001
45408,4051,987.078972653889
45409,4471,697.136640633905
45410,3595,522.025817189359
45411,3708,877.443097702865
45412,3707,1869.65213155647
45413,3943,439.848982673606
45414,4172,657.349332811411
45415,3885,1599.9852666399
45416,3979,158.003023742618
45417,3981,763.487131004537
45418,4122,2639.68341933014
45419,3753,852.659295404525
45420,648,1226.8431251528
45421,4010,993.944632222928
45422,3987,826.641979219302
45423,4742,2994.39674574764
45424,4705,1573.89768918931
45425,4118,1434.29077326172
45426,3703,673.436474097445
45427,3710,529.803289036099
45428,3875,612.173004255752
45429,4128,172.742888187873
45430,3882,595.418392125485
45431,4086,246.636211887102
45432,3864,931.267237117928
45433,5108,1523.6150979157
45434,672,564.057160257436
45435,3750,649.034473517144
45436,1968,714.152500746928
45437,2096,895.494595786066
45438,2515,1434.99035694452
45439,688,1033.78268491139
45440,1308,837.428996966963
45441,1869,1350.58231513972
45442,1493,1324.39028781703
45443,1583,344.934903422637
45444,2515,3097.7712520036
45445,2061,624.043634839297
45446,2062,447.146020388526
45447,4034,787.77522136803
45448,4054,598.719647020219
45449,1371,824.43239113227
45450,4794,1088.25295181331
45451,2815,1484.37393349892
45452,3026,226.535836716068
45453,3060,1114.18802979869
45454,3337,682.320289607123
45455,3157,1194.52993798071
45456,3061,776.520592982514
45457,3272,449.207096456124
45458,3120,3705.17165194107
45459,3340,3052.24259865573
45460,3110,639.917069629992
45461,3376,894.913831084905
45462,3057,1788.0069560195
45463,3049,1392.89450691648
45464,3023,177.659941675402
45465,620,644.476358773872
45466,3479,657.619963357715
45467,317,619.138953090811
45468,493,268.374876560772
45469,3935,493.727377934404
45470,4265,920.804187223845
45471,5187,991.735280631342
45472,2505,1368.73888104742
45473,2554,924.447755890151
45474,1391,506.375505027976
45475,1442,1703.48940607925
45476,1388,1101.31113929728
45477,1422,561.773673253888
